test_distance,sample_num,detected,x_tag,y_tag,z_tag,battery
1.0,0,0,nan,nan,nan,79
1.0,1,0,nan,nan,nan,79
1.0,2,0,nan,nan,nan,79
1.0,3,1,-0.06287497008223092,-0.4337500761298908,1.3722735835658109,79
1.0,4,1,-0.06365040964289125,-0.43263433302786314,1.3864423840407265,79
1.0,5,1,-0.06287421525255789,-0.4289979251333686,1.3921598200558374,79
1.0,6,1,-0.06482179755703493,-0.42550690941056835,1.393443412094803,79
1.0,7,1,-0.06736005668304801,-0.4204244449308946,1.3969850443537726,79
1.0,8,1,-0.06814893570341048,-0.41882182528161904,1.4004431869402367,79
1.0,9,1,-0.06945361022592639,-0.41785485611534856,1.4034985102223918,79
1.0,10,1,-0.07006429576476755,-0.41812864194226734,1.40447833830845,79
1.0,11,1,-0.07060379954952714,-0.42071760653401263,1.4078836609260037,79
1.0,12,1,-0.07156836869161307,-0.42275666385604177,1.4103159574326525,79
1.0,13,1,-0.07071384146722273,-0.4287448329918766,1.416951564836279,79
1.0,14,1,-0.0700999483608469,-0.43136664774335093,1.416101956549333,79
1.0,15,1,-0.06812532892708123,-0.43374637151234824,1.4203962288249077,79
1.0,16,1,-0.06692571982174592,-0.43526272950843836,1.4238585083525688,79
1.0,17,1,-0.06537049935255623,-0.4354277222486018,1.4227162351945482,79
1.0,18,1,-0.06377437521885485,-0.4368744254942526,1.422165738166196,79
1.0,19,1,-0.06398533548714969,-0.4367165112947353,1.420264974051278,79
1.0,20,1,-0.06361678905329088,-0.4394274365998344,1.422913770632087,79
1.0,21,1,-0.06342968817606216,-0.4422197306667401,1.4225788369597856,79
1.0,22,1,-0.06402654525506787,-0.4472194018163509,1.4224216098197917,79
1.0,23,1,-0.06611551953512773,-0.4512507440856063,1.420940820528021,79
1.0,24,1,-0.06526968671434821,-0.44497663782238894,1.3941428999781222,79
1.0,25,0,nan,nan,nan,79
1.0,26,0,nan,nan,nan,79
1.0,27,0,nan,nan,nan,79
1.0,28,0,nan,nan,nan,79
1.0,29,0,nan,nan,nan,79
1.0,30,0,nan,nan,nan,79
1.0,31,0,nan,nan,nan,79
1.0,32,0,nan,nan,nan,79
1.0,33,0,nan,nan,nan,79
1.0,34,0,nan,nan,nan,79
1.0,35,1,-0.05872743624301481,-0.4482550775158537,1.402860612499797,79
1.0,36,1,-0.059809877653927916,-0.44682315889393626,1.4023759799670668,79
1.0,37,1,-0.06381315717133151,-0.45531001160334494,1.431575196183841,79
1.0,38,1,-0.06672862834127943,-0.4538228339103164,1.4353915068837024,79
1.0,39,1,-0.06919769369738263,-0.45140569231146827,1.4399286332485148,79
1.0,40,1,-0.07093594048743085,-0.44807270517217845,1.4473767774382085,79
1.0,41,1,-0.07200431305741754,-0.4453161565753361,1.4485116616259526,79
1.0,42,1,-0.07500901396195361,-0.44413526219094385,1.4571388668453826,79
1.0,43,1,-0.07867585021141348,-0.44463031978735207,1.459338446689763,79
1.0,44,1,-0.08115095568066158,-0.4485704527079043,1.4581092276035716,79
1.0,45,1,-0.08381217617640874,-0.4602318355723449,1.4605749269994217,79
1.0,46,0,nan,nan,nan,79
1.0,47,0,nan,nan,nan,79
1.0,48,0,nan,nan,nan,79
1.0,49,0,nan,nan,nan,79
1.0,50,0,nan,nan,nan,79
1.0,51,0,nan,nan,nan,79
1.0,52,0,nan,nan,nan,79
1.0,53,0,nan,nan,nan,79
1.0,54,0,nan,nan,nan,79
1.0,55,0,nan,nan,nan,79
1.0,56,0,nan,nan,nan,79
1.0,57,0,nan,nan,nan,79
1.0,58,0,nan,nan,nan,79
1.0,59,0,nan,nan,nan,79
1.0,60,0,nan,nan,nan,79
1.0,61,0,nan,nan,nan,79
1.0,62,0,nan,nan,nan,79
1.0,63,0,nan,nan,nan,79
1.0,64,0,nan,nan,nan,79
1.0,65,0,nan,nan,nan,79
1.0,66,0,nan,nan,nan,79
1.0,67,1,-0.0972999434257423,-0.47477468186144905,1.483416017840588,79
1.0,68,1,-0.09702295155430984,-0.46791744783015576,1.4866594583077846,79
1.0,69,1,-0.09736682240406842,-0.45761068887196493,1.4873898240271826,79
1.0,70,1,-0.09535074050429616,-0.4507157733313635,1.487054223290054,79
1.0,71,1,-0.08934884693364578,-0.44203896587238745,1.4907399577639053,79
1.0,72,1,-0.08715945657317509,-0.43894386590749007,1.4927513889635784,79
1.0,73,1,-0.08376903938434484,-0.43305057575537365,1.496883552233673,79
1.0,74,1,-0.08271596377340651,-0.4281163889100233,1.5008591700562894,79
1.0,75,1,-0.08094644978886553,-0.4205036017479937,1.5054437116098855,79
1.0,76,1,-0.08253949840003295,-0.41496403363708423,1.5112992680477468,79
1.0,77,1,-0.08395476360962818,-0.4137311874745564,1.5163954891421498,79
1.0,78,1,-0.08826673408005511,-0.4111026603788737,1.5216206862021726,79
